수집시간,단지ID,단지명,매물ID,매물출처,호ID,단지타입ID,거래유형_영문,거래유형,보증금(만원),월세(만원),가격(억),가격범위여부,구,동네,동번호,층,면적_전용m2,면적_전용평,면적_계약m2,타입_m2,타입_평,방향,제목,동일호_매물수,동일호_여부,매물유형,실거래확인,직접등록여부,매물URL
2026-05-22 06:04:11,139,가락금호,48971254,zigbang,11403571,352,charter,전세,75000,0,7.5,False,송파구,가락동,106동,15,59.91,18.12,81.11,81A,25A,,"올수리 깨끗한집, 신혼부부 강추, 빠른 입주 가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48971254
2026-05-22 06:04:11,139,가락금호,48699663,zigbang,11403689,350,trade,매매,218000,0,21.8,False,송파구,가락동,107동,18,85,25.71,108.14,108A,33A,,"32, 올수리, 화이트 인테리어, 방3개, 화장실2개",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48699663
2026-05-22 06:04:11,17517,가락스타클래스,49101644,zigbang,6730839,171208,trade,매매,170000,0,17.0,False,송파구,가락동,1동,고,84.93,25.69,110.23,110B,33B,,"탁트인 롯데타워전망, 주인거주중, 주차편리, 입지굿",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49101644
2026-05-22 06:04:11,17517,가락스타클래스,49101654,zigbang,6730847,171211,trade,매매,190000,0,19.0,False,송파구,가락동,1동,고,115.94,35.07,150.47,150,45,,"23년 특올수리, 주인거주, 주차편리, 오금역세권,조정가",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49101654
2026-05-22 06:04:11,804,가락쌍용1차,192136,coalition,12733636,146756,trade,매매,240000,0,24.0,False,송파구,가락동,103동,1,84.69,25.62,110.67,110,33,,확장 올수리 된 로얄동 필로티 1층입니다.,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/192136
2026-05-22 06:04:11,804,가락쌍용1차,207005,coalition,12734214,146756,trade,매매,240000,0,24.0,False,송파구,가락동,202동,2,84.69,25.62,110.67,110,33,,필로티 있는 동. 뷰 좋습니다. 정문 바로 앞동. 남향,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/207005
2026-05-22 06:04:11,804,가락쌍용1차,195317,coalition,12734374,146756,trade,매매,250000,0,25.0,False,송파구,가락동,203동,16,84.69,25.62,110.67,110,33,,"올확장, 주인거주, 입주날짜 협의가능, 가주초, 송파중 인",2,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/195317
2026-05-22 06:04:11,804,가락쌍용1차,237988,coalition,12735284,146757,trade,매매,195000,0,19.5,False,송파구,가락동,305동,6,59.92,18.13,81.21,81,25,,"샷시 및 올수리,확장(주방 제외)한 집입니다.",5,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/237988
2026-05-22 06:04:11,4017,가락풍림,48770114,zigbang,11693016,31194,trade,매매,130000,0,13.0,False,송파구,가락동,1동,중,80.52,24.36,107.49,107,32,," 특특올수리. 남서향, 채광좋음,거실확장. 가주초송파중 학",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48770114
2026-05-22 06:04:11,4017,가락풍림,48770032,zigbang,11692974,31194,trade,매매,130000,0,13.0,False,송파구,가락동,1동,저,80.52,24.36,107.49,107,32,,완전 특올수리. 주인거주중. 가주초 송파중 학군,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48770032
